Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
53,Indian Institute of Tropical MeteorologyIndia,"Pratyush- Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","119,232","3,763.9","4,006.2","1,353"
54,SAKURA Internet Inc. / Prunus Solutions Inc.Japan,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2HPE","65,208","3,712.0","5,365.1",
55,DOE/National Energy Technology LaboratoryUnited States,"Joule 2.0- HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100HPE","86,400","3,608.6","5,750.8",
56,GovernmentUnited States,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40Cray Inc.","72,800","3,577.0","6,131.8","1,499"
57,GovernmentUnited States,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40Cray Inc.","72,800","3,577.0","6,131.8","1,499"
58,ERDC DSRCUnited States,"ONYX- Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz/Xeon E5-2699v4, Aries interconnectCray Inc.","160,304","3,409.6","5,865.5",
59,ERDC DSRCUnited States,"Topaz- SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDRHPE","124,200","3,318.9","4,570.6","5,175"
60,FacebookUnited States,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100Self-made","60,512","3,307.0","4,896.5",350
61,NVIDIA CorporationUnited States,"DGX Saturn V- NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100Nvidia","60,512","3,307.0","4,896.5",350
62,Mississippi State UniversityUnited States,"Orion- PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDRDell EMC","67,240","3,290.6","4,733.7",
63,AWEUnited Kingdom,"Damson- Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDRBull, Atos Group","113,832","3,243.4","3,791.6","1,134"
64,Air Force Research LaboratoryUnited States,"Mustang- HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-PathHPE","55,296","3,221.4","4,777.6",
65,Eni S.p.A.Italy,"HPC2- iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20xIBM","72,000","3,188.0","4,605.0","1,227"
66,Japan Aerospace eXploration AgencyJapan,"SORA-MA- Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2Fujitsu","110,160","3,157.0","3,481.1","1,652"
67,GovernmentUnited States,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnectCray Inc.","225,984","3,143.5","4,881.3","6,328"
